Word,Pronunciation,Definition,HSK Level
高档,gāo dàng,superior quality; high grade; top grade,5
高峰,gāo fēng,peak; summit; height,6
高级,gāo jí,high level; high grade; advanced; high-ranking,4
高考,gāo kǎo,college entrance exam; abbr. for 普通高等學校招生全國統一考試|普通高等学校招生全国统一考试[pu3 tong1 gao1 deng3 xue2 xiao4 zhao1 sheng1 quan2 guo2 tong3 yi1 kao3 shi4],6
高明,gāo míng,wise; brilliant; superior,6
高尚,gāo shàng,nobly; lofty,6
高速公路,gāo sù gōng lù,expressway; highway; freeway,5
高兴,gāo xìng,happy; glad; willing (to do sth); in a cheerful mood,1
高涨,gāo zhǎng,upsurge; (tensions etc) run high,6
搞,gǎo,to do; to make; to go in for; to set up; to get hold of; to take care of,5
稿件,gǎo jiàn,rough draft; material contributing to a final document,6
告别,gào bié,to leave; to bid farewell to; to say good-bye to,5
告辞,gào cí,to take leave,6
告诫,gào jiè,to warn; to admonish,6
告诉,gào su,to tell; to inform; to let know,2
割,gē,to cut; to cut apart,6
搁,gē,to place; to put aside; to shelve,6
胳膊,gē bo,"arm; CL:隻|只[zhi1],條|条[tiao2],雙|双[shuang1]",5
疙瘩,gē da,swelling or lump on skin; pimple; knot; preoccupation; problem,6
哥哥,gē ge,"older brother; CL:個|个[ge4],位[wei4]",2
歌颂,gē sòng,sing the praises of; extol; eulogize,6
鸽子,gē zi,pigeon; dove; various birds of the species Columbidae,5
隔壁,gé bì,next door,5
隔阂,gé hé,estrangement,6
格局,gé jú,structure; pattern; layout,6
隔离,gé lí,to separate; to isolate,6
革命,gé mìng,revolution; revolutionary (politics); CL:次[ci4],5
格式,gé shì,form; specification; format,6
格外,gé wài,especially; particularly,5
个,gè,individual; this; that; size; classifier for people or objects in general,1
各,gè,each; every,4
个别,gè bié,individual; specific; respective; just one or two,5
个人,gè rén,individual; personal; oneself,5
各抒己见,gè shū jǐ jiàn,everyone gives their own view,6
个体,gè tǐ,individual,6
个性,gè xìng,individuality; personality,5
各自,gè zì,each; respective; apiece,6
个子,gè zi,height; stature; build; size,4
给,gěi,to; for; for the benefit of; to give; to allow; to do sth (for sb); (passive particle),2
根,gēn,"root; basis; classifier for long slender objects, e.g. cigarettes, guitar strings; CL:條|条[tiao2]; radical (chemistry)",5
跟,gēn,heel; to follow closely; to go with; to marry sb (of woman); with; towards; as (compared to); from (different from); and (in addition to),3
根本,gēn běn,fundamental; basic; root; simply; absolutely (not); (not) at all; CL:個|个[ge4],5
根据,gēn jù,according to; based on; basis; foundation; CL:個|个[ge4],3
跟前,gēn qián,in front of; close to; nearby; the time just before,6
根深蒂固,gēn shēn dì gù,deep-rooted (problem etc),6
跟随,gēn suí,to follow,6
根源,gēn yuán,origin; root (cause),6
跟踪,gēn zōng,to follow sb's tracks; to tail; to shadow,6
耕地,gēng dì,arable land; to plow land,6
更新,gēng xīn,to replace the old with new; to renew; to renovate; to upgrade; to update; to regenerate,6
更正,gēng zhèng,to correct; to make a correction,6
更,gèng,even more; furthermore,5
更加,gèng jiā,more (than sth else); even more,5
公安局,gōng ān jú,Public Security Bureau,6
公布,gōng bù,to announce; to make public; to publish,5
供不应求,gōng bù yìng qiú,supply does not meet demand,6
工厂,gōng chǎng,"factory; CL:家[jia1],座[zuo4]",5
工程师,gōng chéng shī,"engineer; CL:個|个[ge4],位[wei4],名[ming2]",5
公道,gōng dào,justice; fairness; public highway,6
宫殿,gōng diàn,palace; CL:座[zuo4],6
工夫,gōng fu,time; skill,6
功夫,gōng fu,skill; art; kung fu; labor; effort,5
公告,gōng gào,post; announcement,6
公共汽车,gōng gòng qì chē,"bus; CL:輛|辆[liang4],班[ban1]",2
公关,gōng guān,public relations,6
攻击,gōng jī,to attack; to accuse; to charge; an attack (terrorist or military),6
供给,gōng jǐ,to furnish; to provide; supply (as in supply and demand),6
公斤,gōng jīn,kilogram (kg),2
恭敬,gōng jìng,deferential; with respect,6
工具,gōng jù,tool; instrument; utensil; means (to achieve a goal etc),4
公开,gōng kāi,public; to publish; to make public,5
功课,gōng kè,homework; assignment; task; classwork; lesson; study; CL:門|门[men2],6
攻克,gōng kè,to capture; to take,6
功劳,gōng láo,contribution; meritorious service; credit,6
公里,gōng lǐ,kilometer,4
公民,gōng mín,citizen,6
功能,gōng néng,function; capability,5
公平,gōng píng,fair; impartial,5
公婆,gōng pó,husband's parents; parents-in-law,6
公然,gōng rán,openly; publicly; undisguised,6
工人,gōng rén,"worker; CL:個|个[ge4],名[ming2]",5
公认,gōng rèn,publicly known (to be); accepted (as),6
公式,gōng shì,formula,6
公司,gōng sī,(business) company; company; firm; corporation; incorporated; CL:家[jia1],2
公务,gōng wù,official business,6
功效,gōng xiào,efficacy,6
工业,gōng yè,industry; CL:種|种[zhong3],5
工艺品,gōng yì pǐn,handicraft article; handiwork; CL:個|个[ge4],6
公寓,gōng yù,apartment building; block of flats; CL:套|套[tao4],5
公元,gōng yuán,(year) AD; Christian era,5
公园,gōng yuán,public park; CL:場|场[chang3],3
公正,gōng zhèng,just; fair; equitable,6
公证,gōng zhèng,notarization; notarized; acknowledgement,6
公主,gōng zhǔ,princess,5
工资,gōng zī,"wages; pay; CL:個|个[ge4],份[fen4],月[yue4]",4
工作,gōng zuò,"job; work; construction; task; CL:個|个[ge4],份[fen4],項|项[xiang4]",1
巩固,gǒng gù,to consolidate; consolidation; to strengthen,6
共和国,gòng hé guó,republic,6
共计,gòng jì,to sum up to; to total,6
共鸣,gòng míng,physical resonance; sympathetic response to sth,6
共同,gòng tóng,common; joint; jointly; together; collaborative,4
贡献,gòng xiàn,to contribute; to dedicate; to devote; contribution; CL:個|个[ge4],5
勾结,gōu jié,to collude with; to collaborate with; to gang up with,6
沟通,gōu tōng,communicate,5
钩子,gōu zi,hook,6
狗,gǒu,"dog; CL:隻|只[zhi1],條|条[tiao2]",1
够,gòu,to reach; to be enough,4
构成,gòu chéng,to constitute; to form; to compose; to make up; to configure (computing),5
构思,gòu sī,to outline a story; to make a preliminary sketch,6
购物,gòu wù,shopping,4
孤单,gū dān,lone; lonely; loneliness,4
孤独,gū dú,lonely; solitary,6
辜负,gū fù,to fail to live up (to expectations); unworthy (of trust); to let down; to betray (hopes); to disappoint,6
姑姑,gū gu,paternal aunt; CL:個|个[ge4],5
估计,gū jì,to estimate; to reckon; CL:個|个[ge4],4
孤立,gū lì,isolate; isolated,6
姑娘,gū niang,girl; young woman; young lady; daughter; CL:個|个[ge4],5
姑且,gū qiě,temporarily; the time being; for the moment; provisional; tentatively,6
古代,gǔ dài,ancient times; olden times,5
古典,gǔ diǎn,classical,5
股东,gǔ dōng,shareholder; stockholder,6
古董,gǔ dǒng,curio; antique,6
鼓动,gǔ dòng,to agitate; to arouse; to instigate; to encite,6
股份,gǔ fèn,a share (in a company); stock,6
骨干,gǔ gàn,diaphysis (long segment of a bone); fig. backbone,6
古怪,gǔ guài,eccentric; grotesque; oddly; queer,6
古老,gǔ lǎo,ancient; old; age-old,5
鼓励,gǔ lì,to encourage,4
股票,gǔ piào,share; stock (market),5
骨头,gǔ tou,"bone; strong character; CL:根[gen1],塊|块[kuai4]",5
鼓舞,gǔ wǔ,heartening (news); boost (morale); CL:個|个[ge4],5
鼓掌,gǔ zhǎng,to applaud; to clap,4
固定,gù dìng,fixed; set; regular,5
顾客,gù kè,client; customer; CL:位[wei4],4
顾虑,gù lǜ,misgivings; apprehensions,6
固然,gù rán,admittedly (it's true that...),6
故事,gù shi,story; tale; narrative,5
固体,gù tǐ,solid,5
顾问,gù wèn,adviser; consultant,6
故乡,gù xiāng,home; homeland; native place; CL:個|个[ge4],6
故意,gù yì,deliberately; on purpose,4
雇佣,gù yōng,to employ; to hire,5
固有,gù yǒu,intrinsic to sth; inherent; native,6
故障,gù zhàng,malfunction; breakdown; defect; shortcoming; fault; failure; impediment; error; bug (in software),6
固执,gù zhi,persistent; stubborn,6
刮风,guā fēng,to be windy,3
挂,guà,to hang or suspend (from a hook etc); (of a telephone call) to hang up; to be worried or concerned; to make a phone call (topolect); to register or record; to hitch; classifier for sets or clusters of objects,4
挂号,guà hào,to register (a letter etc),5
乖,guāi,"(of a child) obedient, well-behaved; clever; shrewd; alert; perverse; contrary to reason; irregular; abnormal",5
拐弯,guǎi wān,to go round a curve; to turn a corner; fig. a new direction,5
拐杖,guǎi zhàng,crutches; crutch; walking stick,6
怪不得,guài bu de,lit. you can't blame it!; no wonder!; so that's why!,5
关,guān,mountain pass; to close; to shut; to turn off; to concern; to involve,3
官,guān,official; government; organ of body; CL:個|个[ge4],5
关闭,guān bì,to close; to shut,5
观察,guān chá,to observe; to watch; to survey; to examine; observation; view; perspective; CL:個|个[ge4],5
观点,guān diǎn,point of view; viewpoint; standpoint; CL:個|个[ge4],5
官方,guān fāng,official; (by the) government,6
观光,guān guāng,to tour; sightseeing; tourism,6
关怀,guān huái,care; solicitude; to show care for; concerned about; attentive to,5
关键,guān jiàn,crucial point; crux; CL:個|个[ge4]; key; crucial; pivotal,4
观念,guān niàn,notion; thought; concept; sense; views; ideology; general impressions,5
关系,guān xì,relation; relationship; to concern; to affect; to have to do with; guanxi; CL:個|个[ge4],3
关心,guān xīn,to care for sth; caring; concerned,3
关于,guān yú,pertaining to; concerning; regarding; with regards to; about; a matter of,3
关照,guān zhào,to take care; to keep an eye on; to look after; to tell; to remind,6
观众,guān zhòng,spectators; audience; visitors (to an exhibition etc),4
管理,guǎn lǐ,to supervise; to manage; to administer; management; administration; CL:個|个[ge4],4
管辖,guǎn xiá,to administer; to have jurisdiction (over),6
管子,guǎn zǐ,tube; pipe; drinking straw; CL:根[gen1],5
罐,guàn,can; jar; pot,6
贯彻,guàn chè,to implement; to put into practice; to carry out,6
灌溉,guàn gài,to irrigate,6
冠军,guàn jūn,champion; CL:個|个[ge4],5
惯例,guàn lì,conventional,6
罐头,guàn tou,tin; can; CL:個|个[ge4],5
光,guāng,light; ray; CL:道[dao4]; bright; only; merely; to use up,4
光彩,guāng cǎi,luster; splendor; radiance; brilliance,6
光滑,guāng hua,glossy; sleek; smooth,5
光辉,guāng huī,radiance; glory; brilliant; magnificent,6
光临,guāng lín,(honorific) Welcome!; You honor us with your presence.; It is an honor to have you.,5
光芒,guāng máng,rays of light; brilliant rays; radiance,6
光明,guāng míng,light; illumination; radiance (esp. glory of Buddha etc); fig. bright prospect; openhearted,5
光盘,guāng pán,"compact disc; CD or DVD; CD ROM; CL:片[pian4],張|张[zhang1]",5
光荣,guāng róng,honor and glory; CL:個|个[ge4],5
广播,guǎng bō,broadcast; widely spread; CL:個|个[ge4],4
广场,guǎng chǎng,a public square (e.g. Tiananmen Square); plaza; CL:個|个[ge4],5
广大,guǎng dà,(of an area) vast or extensive; large-scale; widespread; (of people) numerous,5
广泛,guǎng fàn,extensive; wide range,5
广告,guǎng gào,to advertise; a commercial; advertisement; CL:項|项[xiang4],4
广阔,guǎng kuò,wide; vast,6
逛,guàng,to stroll; to visit,4
规定,guī dìng,provision; to fix; to set; to formulate; to stipulate; to provide; regulation; rule; CL:個|个[ge4],4
规范,guī fàn,norm; standard; specification; regulation; rule; within the rules; to fix rules; to regulate; to specify,6
规格,guī gé,standard; norm; specification,6
归根到底,guī gēn dào dǐ,(saying) to sum it up...,6
规划,guī huà,plan; program,6
归还,guī huán,to return sth; to revert,6
规矩,guī ju,lit. compass and set square; fig. established standard; rule; customs; practices; fig. upright and honest; well-behaved,5
规律,guī lǜ,rule (e.g. of science); law of behavior; regular pattern; rhythm; discipline,5
规模,guī mó,scale; scope; extent; CL:個|个[ge4],5
归纳,guī nà,to sum up; to summarize; to conclude from facts; induction (method of deduction in logic),6
规则,guī zé,rule; regulation; rules and regulations,5
规章,guī zhāng,rule; regulation,6
轨道,guǐ dào,orbit; railway or tram line; fig. conventional way of thinking,6
贵,guì,expensive; noble; your (name); precious,2
跪,guì,kneel,6
柜台,guì tái,sales counter; front desk; bar,5
贵族,guì zú,lord; nobility; nobleman; noblewoman; aristocrat; aristocracy,6
滚,gǔn,to boil; to roll; get lost (imperative); take a hike,5
棍棒,gùn bàng,club,6
锅,guō,"pot; pan; boiler; CL:口[kou3],隻|只[zhi1]",5
国防,guó fáng,national defense,6
国籍,guó jí,nationality,5
国际,guó jì,international,4
国家,guó jiā,country; nation; state; CL:個|个[ge4],3
国庆节,Guó qìng jié,PRC National Day (October 1st),5
国务院,Guó Wù Yuàn,State Council (PRC); State Department (USA),6
果断,guǒ duàn,firm; decisive,6
果然,guǒ rán,really; sure enough; as expected,4
果实,guǒ shí,fruit; gains,5
果汁,guǒ zhī,fruit juice,3
过,guò,to pass (time); to celebrate (a holiday); to live; to get along,2
过程,guò chéng,course of events; process; CL:個|个[ge4],4
过度,guò dù,excessive; over-; excess; going too far; extravagant; intemperate; overdue,6
过渡,guò dù,to cross over (by ferry); transition; interim; caretaker (administration),6
过分,guò fèn,excessive; undue; overly,5
过奖,guò jiǎng,to over-praise; to flatter,6
过滤,guò lǜ,to filter; filter,6
过敏,guò mǐn,to be allergic; allergy,5
过期,guò qī,to be overdue; to exceed the time limit; to expire (as in expiration date),5
过去,guò qu,(in the) past; former; previous; to go over; to pass by,3
过失,guò shī,defect; fault,6
过问,guò wèn,to show an interest in; to get involved with,6
过瘾,guò yǐn,to satisfy a craving; to get a kick out of sth; gratifying; immensely enjoyable; satisfying; fulfilling,6
过于,guò yú,too much; excessively,6
过,guo,(experienced action marker); to cross; to go over,5
哈,hā,laughter; yawn; abbr. for Kazakhstan,5
嗨,hāi,oh alas; hey!; hi! (loanword),6
还,hái,still; still in progress; still more; yet; even more; in addition; fairly; passably (good); as early as; even; also; else,2
还是,hái shì,or; still; nevertheless,3
孩子,hái zi,child,2
海拔,hǎi bá,height above sea level; elevation,6
海滨,hǎi bīn,shore; seaside,6
海关,hǎi guān,customs (i.e. border crossing inspection); CL:個|个[ge4],5
海鲜,hǎi xiān,seafood,5
海洋,hǎi yáng,ocean; CL:個|个[ge4],4
害怕,hài pà,to be afraid; to be scared,3
害羞,hài xiū,blush; shy,4
含糊,hán hu,obscurity; vague,6
