Word,Pronunciation,Definition,HSK Level
憋,biē,to choke; to stifle; to restrain; to hold back; to hold in (urine); to hold (one's breath),6
别,bié,to leave; to depart; to separate; to distinguish; to classify; other; another; do not; must not; to pin,2
别人,bié ren,other people; others; other person,6
别墅,bié shù,"villa; CL:幢[zhuang4],座[zuo4]",6
别致,bié zhì,unusual; unique,6
别扭,biè niu,awkward; difficult; uncomfortable; not agreeing; at loggerheads; gauche; awkward (writing or speech),6
宾馆,bīn guǎn,"guesthouse; CL:個|个[ge4],家[jia1]",3
濒临,bīn lín,on the verge of; close to,6
冰雹,bīng báo,"hail; hailstone; CL:場|场[chang2],粒[li4]",6
冰箱,bīng xiāng,"icebox; freezer cabinet; refrigerator; CL:臺|台[tai2],個|个[ge4]",3
丙,bǐng,"third of 10 heavenly stems 十天干; third in order; letter ""C"" or roman ""III"" in list ""A, B, C"", or ""I, II, III"" etc; propyl",5
饼干,bǐng gān,"biscuit; cracker; cookie; CL:片[pian4],塊|块[kuai4]",4
并存,bìng cún,to exist at the same time; to coexist,6
病毒,bìng dú,virus,5
并非,bìng fēi,really isn't,6
并列,bìng liè,to stand side by side; to be juxtaposed,6
并且,bìng qiě,and; besides; moreover; furthermore; in addition,4
拨打,bō dǎ,to call; to dial,6
播放,bō fàng,to broadcast; to transmit,6
波浪,bō làng,wave,6
玻璃,bō li,"glass; nylon; plastic; CL:張|张[zhang1],塊|块[kuai4]",5
波涛汹涌,bō tāo xiōng yǒng,tumultuous situations,6
剥削,bō xuē,to exploit; exploitation,6
播种,bō zhòng,to sow seeds; sowing; seed,6
博大精深,bó dà jīng shēn,wide-ranging and profound; broad and deep,6
搏斗,bó dòu,to wrestle; to fight; to struggle,6
博览会,bó lǎn huì,exposition; international fair,6
伯母,bó mǔ,wife of father's elder brother; aunt; (polite form of address for a woman who is about the age of one's mother); CL:個|个[ge4],6
薄弱,bó ruò,weak; frail,6
博士,bó shì,doctor; court academician (in feudal China); Ph.D.,4
博物馆,bó wù guǎn,museum,5
脖子,bó zi,neck; CL:個|个[ge4],5
补偿,bǔ cháng,compensate; make up,6
补充,bǔ chōng,to replenish; to supplement; to complement; additional; supplementary; CL:個|个[ge4],5
补救,bǔ jiù,remedy,6
哺乳,bǔ rǔ,breast feeding; to suckle; to nurse,6
补贴,bǔ tiē,to subsidize; subsidy; allowance,6
捕捉,bǔ zhuō,to catch; to seize; to capture,6
不,bù,(negative prefix); not; no,1
布,bù,cloth; to declare; to announce; to spread; to make known,5
不安,bù ān,unpeaceful; unstable; uneasy; disturbed; restless; worried,5
不必,bú bì,need not; does not have to,5
不但,bú dàn,not only (... but also...),4
不得不,bù dé bù,have no choice or option but to; cannot but; have to; can't help it; can't avoid,4
不得了,bù dé liǎo,desperately serious; disastrous; extremely; exceedingly,5
不得已,bù dé yǐ,act against one's will; have no alternative but to; have to; to have no choice; must,6
不断,bú duàn,unceasing; uninterrupted; continuous; constant,5
步伐,bù fá,pace; (measured) step; march,6
不妨,bù fáng,there is no harm in; might as well,6
部分,bù fen,part; share; section; piece; CL:個|个[ge4],5
不敢当,bù gǎn dāng,lit. I dare not (accept the honor); fig. I don't deserve your praise; you flatter me,6
布告,bù gào,posting on a bulletin board; notice; bulletin; to announce,6
不顾,bú gù,in spite of; regardless of,6
不管,bù guǎn,"no matter (what, how); regardless of; no matter",4
不过,bú guò,only; merely; no more than; but; however; anyway (to get back to a previous topic),4
不好意思,bù hǎo yì si,to feel embarrassed; to be ill at ease; to find it embarrassing (to do sth),5
不见得,bú jiàn de,not necessarily; not likely,5
不禁,bù jīn,can't help (doing sth); can't refrain from,6
不仅,bù jǐn,not only (this one); not just (...) but also,4
